Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
"Burroughs, Ward","22323 East Monte Vista Avenue, Denair, CA 95316",California Cloverleaf Farm,"22323 East Monte Vista Avenue, Denair, CA 95316",37.52078,-120.65558,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00044,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Bylsma, Brian","6832 East Avenue, Ballico, CA 95303",Full Circle Dairy,"6800 East Avenue, Ballico, CA 95303",37.49297,-120.60602,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00029,null,null,06/29/2007,null,10/02/2018,null,null,A,1,530,Mature dairy cattle,null,0,0,NA
"Bylsma, Willy","12100 Fogarty Road, Oakdale, CA 95361",W & J Dairy,"12100 Fogarty Road, Oakdale, CA 95361",37.75460243,-120.7729519,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00187,null,null,06/29/2007,null,10/02/2018,null,null,A,1,750,Heifers (non dairy affiliated),null,1,1,NA
C A Vanderham & Sons,"Po Box 1147, Tipton, CA 93272",D & V Dairy,"15625 Avenue 144, Tipton, CA 93272",36.049926,-119.21886,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00090,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3782,Mature dairy cattle,null,1,2,NA
CR Griffith Dairy Inc.,"1748 Xavier Court, Fortuna, CA 95540",CR Griffith Dairy,"2025 Christensen Lane, Ferndale, CA 95536",40.594798,-124.193455,Animal Feeding Facility,0214,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B00143DHUM,null,null,01/28/2020,null,11/30/2029,null,null,null,null,99,Mature dairy cattle,null,0,0,NA
CSU Chico,"400 West 1st Street, Chico, CA 95929",CSU Chico Dairy Facility,"311 Nicholas C Shouten Lane, Chico, CA",39.69732,-121.82725,Animal Feeding Facility,0241,Butte,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A04NC00045,null,null,11/28/2011,null,10/03/2018,null,null,C,3,90,Mature dairy cattle,null,0,0,NA
CSU Fresno Ag Foundation,"2771 East Shaw Avenue, Fresno, CA 93710",CSUF Dairy,"5450 North Sierra Vista Avenue, Fresno, CA 93740",36.817425,-119.737781,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00008,null,null,06/29/2007,null,10/02/2018,null,null,A,1,208,Mature dairy cattle,null,0,0,NA
Ca Dept of Corrections & Rehabilitation,"9838 Old Placerville Road B, Sacramento, CA 95827",Deuel Vocational Institute Dairy,"23500 Kasson Road, Tracy, CA 95376",37.73521,-121.32632,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B395016001,null,null,05/23/1975,null,10/02/2018,0,null,C,1,0,Mature dairy cattle,null,1,0,NA
Cabral Brothers,"1803 Alderwood Court, San Mateo, CA 94402",Luis Correia Dairy,"11132 Shultz Road, El Nido, CA 95317",37.12575,-120.446,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00063,null,null,06/29/2007,null,10/02/2018,null,null,A,1,248,Mature dairy cattle,null,1,1,NA
Cabral Family Trust,"10183 Pringle Avenue, Galt, CA 95632",Cal-Cab Holsteins,"13390 McFarland Avenue, Galt, CA 95632",38.27,-121.313222,Animal Feeding Facility,0241,Sacramento,5S,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,R5-2017-0058,5A34NC00108,null,null,01/31/2021,null,01/30/2026,null,null,null,null,0,Heifers (non dairy affiliated),21.9,0,0,NA
"Cabral, Tony","10342 Crows Landing Road, Crows Landing, CA 95313",Aguiar & Bento Dairy,"10342 Crows Landing Road, Crows Landing, CA 95313",37.4883,-120.9945,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00047,null,null,06/29/2007,null,10/02/2018,null,null,A,1,100,Heifers (non dairy affiliated),null,1,0,NA
"Caetano, Paul","9436 Griffith Avenue, Delhi, CA 95315",Vitorino Dairy,"9436 Griffith Avenue, Delhi, CA 95315",37.4241,-120.81291,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00041,null,null,06/29/2007,null,10/02/2018,null,null,A,1,685,Mature dairy cattle,null,0,0,NA
Cahill Dairy,"1837 Home Avenue, Fortuna, CA 95540","Cahill Organic Dairy - Fulmor Road, Ferndale","1073 Fulmor Road, Ferndale, CA 95536",40.611232,-124.249824,Animal Feeding Facility,11212,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11109DHUM,null,null,01/14/2020,null,11/30/2029,null,null,null,null,500,Mature dairy cattle,null,0,0,NA
CalfTech Corp,"13939 Road 152, Tipton, CA 93272",CalfTech Corp #2,"14799 Avenue 136, Tipton, CA 93272",36.03293,-119.24599,Animal Feeding Facility,0211,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C54NC00344,null,null,02/15/2019,null,02/15/2024,null,null,null,null,24000,Calf feedlots,16100,0,0,NA
CalfTech Corp,"13939 Road 152, Tipton, CA 93272",CalfTech Depot,"1818 North Gratton Road, Turlock, CA 95382",37.51024,-120.79081,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00394,null,null,04/10/2019,null,null,null,null,null,null,0,Calf feedlots,0,0,0,NA
Calgren Dairy Fuels LLC,"Po Box E, Pixley, CA 93256",Circle A Dairy,"11275 Road 96, Pixley, CA 93256",35.99445,-119.3577,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2010-0130,5C54NC00271,null,null,09/29/2017,null,09/29/2022,null,null,null,null,2953,Mature dairy cattle,null,0,0,NA
"California Dairy Farms, LLC","2232 Bailey Avenue, Merced, CA 95341",California Dairy Farms,"2363 North Howard Road, Livingston, CA 95334",37.32135,-120.77858,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00175,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4000,Mature dairy cattle,null,1,1,NA
"Camara, Joseph","2451 County Road Tt Road, Merced, CA 95348",JSJ Dairy,"2451 County Rd TT, Willows, CA 95988",39.575827,-122.08392,Animal Feeding Facility,0241,Glenn,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A11NC00052,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,1,1,NA
Camozzi Dairy,"2323 Stony Point Road, Petaluma, CA 94952",Joseph Camozzi Dairy,"388 Mecham Road, Petaluma, CA 94952",38.302264,-122.740642,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11132DSON,null,null,01/28/2020,null,08/15/2029,null,null,null,null,370,Mature dairy cattle,null,0,0,NA
"Cardoso, Antonio","2712 Kenney Avenue, Winton, CA 95388",Cardoso Dairy,"2720 Kenney Avenue, Winton, CA 95388",37.43402,-120.53455,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00293,null,null,06/29/2007,null,10/02/2018,null,null,A,1,345,Mature dairy cattle,null,0,0,NA
"Cardoso, Armelim","16489 August Avenue, Delhi, CA 95315",Manuel & Maria Cardoso & Sons Dairy,"16489 August Avenue, Delhi, CA 95315",37.41924,-120.78624,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00040,null,null,06/29/2007,null,10/02/2018,null,null,A,1,948,Mature dairy cattle,null,1,1,NA
"Cardoza, John & Sheri J&S Dairy","1474 Highway 99, Tipton, CA 93272",FM Ranch #3,"1474 Highway 99, Tipton, CA 93272",36.07533,-119.31589,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00123,null,null,06/29/2007,null,10/02/2018,null,null,A,1,420,Mature dairy cattle,null,0,2,NA
"Carinalli, Domenico & Lynda","4905 South Gravenstein Highway, Sebastopol, CA 95472-6043",Carinalli Dairy,"4905 South Gravenstein Highway, Sebastopol, CA 95472",38.35096,-122.761922,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B11113DSON,null,null,01/14/2020,null,11/30/2029,null,null,null,null,48,Mature dairy cattle,null,0,0,NA
Carl J & Laurie A Vieira TRS,"P.O. Box 3308, Turlock, CA 95381",Carl Vieira Heifer Feedlot,"9017 West Main Street, Turlock, CA 95380",37.49335,-120.95205,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00413,null,null,04/11/2019,null,null,null,null,null,null,135,Heifers (non dairy affiliated),98.6,0,0,NA
Carlos C Lourenco Dairy,"6557 Oak Avenue, Merced, CA 95340",Carlos Lourenco Dairy,"6557 Oak Avenue, Merced, CA 95340",37.27673,-120.60705,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00235,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1282,Mature dairy cattle,null,2,0,NA
Carlos Costa,"16283 18th Avenue, Hanford, CA 93245","J and A Dairy, LLC","16283 18th Avenue, Lemoore, CA 93245",36.234446,-119.780191,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165083001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,685,Mature dairy cattle,null,1,4,NA
Carlos Costa,"16283 18th Avenue, Hanford, CA 93245",C&R Dairy,"18321 Idaho Avenue, Lemoore, CA 93245",36.269008,-119.787309,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165055N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,660,Mature dairy cattle,null,0,6,NA
"Carlson, Wayne","24567 South Olive Avenue, Ripon, CA 95366",Ripon Ranch,"24567 South Olive Avenue, Ripon, CA 95366",37.7341,-121.15721,Animal Feeding Facility,0251,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B39NC00273,null,null,08/31/2018,null,12/05/2021,null,null,null,null,23510,Non-layers (other than liquid manure system),82,1,0,NA
Carlyn & Janet Jensen Living Trust,"1832 Arch Street, Berkeley, CA 94709",Silva & Son Dairy,"8331 Excelsior Avenue, Hanford, CA 93230",36.401153,-119.606796,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00051,null,null,06/29/2007,null,10/02/2018,null,null,null,null,595,Mature dairy cattle,null,0,1,NA
"Carrillo, Carlos","4356 Kansas Ave, Hanford, CA 93230",Santa Anita Dairy,"4356 Kansas Avenue, Hanford, CA 93230",36.211974,-119.536274,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00028,null,null,06/29/2007,null,10/02/2018,null,null,A,1,390,Mature dairy cattle,null,0,0,NA
Carvalho Brothers Dairy,"8342 Maze Boulevard, Modesto, CA 95358",De Carvalho Brothers Dairy,"8342 Maze Boulevard, Modesto, CA 95358",37.63792098,-121.147281,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00137,null,null,06/29/2007,null,10/02/2018,null,null,A,1,520,Mature dairy cattle,null,0,0,NA
"Carvalho, James & Frances","11443 Crows Landing Road, Crows Landing, CA 95313",Carvalho Dairy,"11443 Crows Landing Road, Crows Landing, CA 95313",37.47309,-121.00163,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00049,null,null,06/29/2007,null,10/02/2018,null,null,A,1,625,Mature dairy cattle,null,0,0,NA
"Case, Vlot","P. O. Box 309, Chowchilla, CA 93610",Vlot Calf Ranch,"20330 Road 4, Chowchilla, CA 93610",37.065512,-120.478642,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C205037001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,6900,Mature dairy cattle,null,0,0,NA
Castelanelli Brothers Dairy,"401 West Armstrong Road, Lodi, CA 95242",Castelanelli Bros Dairy,"401 West Armstrong Road, Lodi, CA 95242",38.0902,-121.32207,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00107,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Mature dairy cattle,null,0,0,NA
"Caton, Matt","14303 Campbell Road, Escalon, CA 95320",Campbell Heifer Facility,"14303 Campbell Road, Escalon, CA 95320",37.83438,-120.97964,Animal Feeding Facility,0211,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B39NC00263,null,null,04/09/2019,null,null,null,null,null,null,280,Calf feedlots,98,0,0,NA
"Central Valley Eggs, LLC","13606 Gun Club Road, Wasco, CA 93280","Central Valley Eggs, LLC","13606 Gun Club Road and Hanawalt Avenue, Wasco, CA 93280",35.65597,-119.50404,Animal Feeding Facility,null,Kern,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5C15NC00210,null,05/12/2016,06/19/2018,null,12/05/2021,null,null,null,null,4200000,Layers (other than liquid manure system),9156,0,0,NA
Central Valley Operations LLC,"4265 Dover Avenue, Hanford, CA 93230",Dover Dairy,"4265 Dover Avenue, Hanford, CA 93230",36.414792,-119.535801,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,WDR,R5-2013-0122,5D165103N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,2443,Mature dairy cattle,null,0,0,NA
Cesar and Brittany Narciso,"P. O. Box 6535, Visalia, CA 93290",Narciso Ranch,"4677 South Pratt Street, Tulare, CA 93274",36.16407,-119.35919,Animal Feeding Facility,null,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C54AP00001,null,null,02/15/2019,null,02/15/2024,null,null,null,null,950,Calf feedlots,1004,0,0,NA
Chapter 11 Trustee for Greg J. teVelde Bankrupcy Estate,"1120 Leland Avenue, Tulare, CA 93274","Channel Islands Dairy Farms, LLC","13406 Road 24, Corcoran, CA 93212",36.03431,-119.51556,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00181,null,null,06/29/2007,null,10/02/2018,null,null,A,1,7677,Mature dairy cattle,null,1,2,NA
Charles D. Martin Dairy,"7715 North Highway 3, Fort Jones, CA 96032",Charles D. Martin Dairy,"7712 North Highway 3, Fort Jones, CA 96032",41.558929,-122.885438,Animal Feeding Facility,11212,Siskiyou,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1A11110DSIS,null,null,01/15/2020,null,11/30/2029,null,null,null,null,129,Mature dairy cattle,null,0,0,NA
Charles and Nancy Pitigliano Revocable 2008 Trust,"11586 Avenue 120, Pixley, CA 93256",PARREIRA FARMS DAIRY,"11021 Avenue 120, Pixley, CA 93256",36.006826,-119.325321,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545150N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,695,Mature dairy cattle,null,0,0,NA
"Chaves, Callie","2675 Nicklaus Drive, Turlock, CA 95380",Double Cross #4,"6006 South Central Avenue, Turlock, CA 95380",37.43803,-120.95837,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00222,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,0,Mature dairy cattle,null,0,0,NA
"Chaves, Frank & Laurinda","12754 East Harney Lane, Lodi, CA 95240",Frank Chaves & Sons Dairy #1,"13080 East Harney Lane, Lodi, CA 95240",38.09821,-121.15761,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00110,null,null,06/29/2007,null,10/02/2018,null,null,A,1,600,Mature dairy cattle,null,0,0,NA
"Chaves, Frank & Laurinda","12754 East Harney Lane, Lodi, CA 95240",Frank Chaves & Sons Dairy #2,"12021 East Harney Lane, Lodi, CA 95240",38.10264,-121.16893,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00111,null,null,06/29/2007,null,10/02/2018,null,null,A,1,218,Mature dairy cattle,null,0,0,NA
Cheryl Hakker and Roger Hakkker,"12499 Idaho Avenue, Hanford, CA 93230",Hakker Dairy,"12499 Idaho Avenue, Hanford, CA 93230",36.265388,-119.682503,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165096N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,949,Mature dairy cattle,null,0,0,NA
Chino Valley Dairy,"2966 Greenwood Avenue, Ontario, CA 91761",Chino Valley Dairy #2,"36580 Ramona Expressway, San Jacinto, CA 92582",33.823518,-117.028852,Animal Feeding Facility,0241,Riverside,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 335716001,CAG018001,null,12/15/2020,null,03/15/2024,null,Major,null,null,350,Mature dairy cattle,null,0,0,NA
Chino Valley Dairy,"2966 Greenwood Avenue, Ontario, CA 91761",Chino Valley Dairy #1,"2733 Cottonwood Avenue, San Jacinto, CA 92582",33.79071,-117.01701,Animal Feeding Facility,0241,Riverside,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 335715001,CAG018001,null,12/15/2020,null,03/15/2024,null,Major,null,null,1210,Mature dairy cattle,null,0,0,NA
Christian Fagundes Farms Inc,"8700 Fargo Avenue, Hanford, CA 93230",Christian Fagundes Farm Inc.,"Avenue 344 and Road 36, Kingsburg, CA 93631",36.41744,-119.48583,Animal Feeding Facility,null,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5C54NC00340,null,null,08/21/2018,null,12/05/2021,null,null,null,null,60000,Turkeys,900,1,1,NA
"Christian, Kelly","10631 Merced Avenue, Delhi, CA 95315",Vernon Ranch,"10613 Merced Avenue, Delhi, CA 95315",37.44282,-120.79559,Animal Feeding Facility,0241,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00432,null,null,10/25/2019,null,10/24/2024,null,null,null,null,257,Heifers (non dairy affiliated),900,1,1,NA
Chuck and Mark Hoffman,"21346 Road 140, Tulare, CA 93274",Hoffman Dairy,"21346 Road 140, Tulare, CA 93274",36.17643,-119.25975,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00074,null,null,06/29/2007,null,10/02/2018,null,null,A,1,167,Heifers (non dairy affiliated),null,1,6,NA
City of Modesto,"P.O. Box 642, Modesto, CA 95354",River View Ranch,"8418 Jennings Road, Modesto, CA 95358",37.51506,-121.06276,Animal Feeding Facility,0211,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B50NC00410,null,null,04/08/2019,null,null,null,null,null,null,2000,Cattle or cow/calf pairs,3600,0,0,NA
"Clarot, Joe & Rose","7260 Carpenter Road, Modesto, CA 95358","Clarot Farms, Inc.","7260 Carpenter Road, Modesto, CA 95358",37.53143,-121.02617,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00100,null,null,06/29/2007,null,10/02/2018,null,null,A,1,775,Heifers (non dairy affiliated),null,0,0,NA
ClimeCo Corporation,"25124 Springfield Court 300, Valencia, CA 91355",Diamond H Dairy,"9564 Avenue 18 1/2, Chowchilla, CA 93610",37.016033,-120.372813,Animal Feeding Facility,0241,Madera,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2010-0130,5B20NC00018,null,null,02/06/2019,null,02/05/2024,null,null,null,null,5737,Mature dairy cattle,null,0,0,NA
"Coderniz, Frank J & Emily B","40396 West Valeria Avenue, Dos Palos, CA 93620",Coderview Holsteins Dairy,"40396 West Valeria Avenue, Dos Palos, CA 93620",36.982225,-120.520597,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B10NC00004,null,null,06/29/2007,null,10/02/2018,null,null,A,1,25,Heifers (non dairy affiliated),null,0,0,NA
Coelho Farms Inc,"Po Box 758, Riverdale, CA 93656",Coelho Farms Dairy,"21655 South Cornelia Avenue, Riverdale, CA 93656",36.420422,-119.89302,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00085,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1465,Mature dairy cattle,null,0,0,NA
"Coelho, Frank","Po Box 578644, Modesto, CA 95357",Nature's Clover Dairy,"4500 Langworth Road, Modesto, CA 95357",37.70362973,-120.8938552,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00135,null,null,06/29/2007,null,10/02/2018,null,null,A,1,331,Mature dairy cattle,null,3,3,NA
"Coelho, Frank, Mary, Mark & Paul","12775 Anchor Way, El Nido, CA 95317",Coelho Frank & Sons L.P.Dairy,"2031 East Washington Road, El Nido, CA 95317",37.1129,-120.45863,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00064,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2270,Mature dairy cattle,null,0,0,NA
"Coelho, Joe & Louise","Po Box 3640, Turlock, CA 95381",Double Cross #3,"11071 Youngstown Road, Turlock, CA 95380",37.44974,-120.824,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C245033001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,402,Mature dairy cattle,null,0,1,NA
College of the Sequoias,"4999 East Bardsley Avenue, Tulare, CA 93274",College of The Sequoias Dairy,"12764 Avenue 224, Tulare, CA 93274",36.192104,-119.28584,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545042N03,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1291,Heifers (non dairy affiliated),null,0,0,NA
"Collenberg, Dan & Karen","1555 Mad River Road, Arcata, CA 95521",Collenberg Dairy,"1555 Mad River Road, Arcata, CA 95521",40.914794,-124.104159,Animal Feeding Facility,0214,Humboldt,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B00178DHUM,null,null,01/17/2020,null,11/30/2029,null,null,null,null,148,Mature dairy cattle,null,0,0,NA
"Collins, Dean S","19420 Reynolds Avenue, Dos Palos, CA 93620",D & S Farms (Dos Palos),"19420 Reynolds Avenue, Dos Palos, CA 93620",37.0048,-120.6435,Animal Feeding Facility,null,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B24NC00414,null,null,12/20/2018,null,12/05/2021,null,null,null,null,68488,Layers or Broilers (liquid manure system),205.5,0,0,NA
"Conner, Darryl","28600 Sowles Road, Galt, CA 95632",Conner #1 Ranch,"28600 Sowles Road, Galt, CA 95632",38.2499,-121.18828,Animal Feeding Facility,0251,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B39NC00248,null,null,07/20/2018,null,12/05/2021,null,null,null,null,74655,Non-layers (other than liquid manure system),373,1,0,NA
"Conner, Tyler","9854 New Hope Road, Galt, CA 95632",Conner #2 Ranch,"9854 New Hope Road, Galt, CA 95632",38.24579,-121.32972,Animal Feeding Facility,0251,Sacramento,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5A34NC00090,null,null,07/20/2018,null,12/05/2021,null,null,null,null,71346,Non-layers (other than liquid manure system),357,0,0,NA
"Contente, Antonio","7900 15th Avenue, Hanford, CA 93230",Contente & Company Dairy,"7900 15th Avenue, Hanford, CA 93230",36.358106,-119.72847,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00015,null,null,06/29/2007,null,10/02/2018,null,null,A,1,985,Mature dairy cattle,null,0,0,NA
"Contente, Joaquin","7900 15th Avenue, Hanford, CA 93230",Contente & Co Ranch,"5730 20th Avenue, Riverdale, CA 93656",36.39187,-119.81481,Animal Feeding Facility,null,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00195,null,null,02/15/2019,null,02/15/2024,null,null,null,null,0,Heifers (non dairy affiliated),511,0,0,NA
